,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status
129,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (new),3499,... <  100 DM,1  <= ... < 4 years,3,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
130,0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4  <= ... < 7 years,1,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
131,... < 0 DM,36,delay in paying off in the past,education,6887,... <  100 DM,1  <= ... < 4 years,4,none,3,building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
132,no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,... <  100 DM,... < 1 year,2,none,3,building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,none,yes,male,single
133,no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,... <  100 DM,1  <= ... < 4 years,4,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes,male,single
134,no checking account,60,existing credits paid back duly till now,radio/television,10144,100 <= ... <  500 DM,4  <= ... < 7 years,2,none,4,real estate,21,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
135,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,.. >= 7 years,4,none,2,real estate,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
136,no checking account,27,delay in paying off in the past,car (used),8613,.. >= 1000 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,single
137,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= ... < 1000 DM,1  <= ... < 4 years,4,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,male,single
138,0 <= ... < 200 DM,15,critical account/  other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4  <= ... < 7 years,4,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
139,>= 200 DM,12,existing credits paid back duly till now,radio/television,1881,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married
140,>= 200 DM,6,existing credits paid back duly till now,car (new),709,.. >= 1000 DM,... < 1 year,2,none,2,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,no,male,married/widowed
141,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,4795,... <  100 DM,... < 1 year,4,none,1,unknown / no property,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
142,... < 0 DM,27,existing credits paid back duly till now,radio/television,3416,... <  100 DM,1  <= ... < 4 years,3,none,2,"car or other, not in attribute 6",27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single
143,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,... <  100 DM,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes,male,single
144,no checking account,21,critical account/  other credits existing (not at this bank),furniture/equipment,2288,... <  100 DM,... < 1 year,4,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
145,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,male,single
146,... < 0 DM,6,critical account/  other credits existing (not at this bank),car (new),860,... <  100 DM,.. >= 7 years,1,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
147,no checking account,12,critical account/  other credits existing (not at this bank),car (new),682,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,3,"car or other, not in attribute 6",51,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
148,... < 0 DM,36,critical account/  other credits existing (not at this bank),furniture/equipment,5371,... <  100 DM,1  <= ... < 4 years,3,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,none,yes,male,single
149,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,1582,.. >= 1000 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,none,yes,male,single
150,no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... <  500 DM,.. >= 7 years,2,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
151,no checking account,10,existing credits paid back duly till now,radio/television,1924,... <  100 DM,1  <= ... < 4 years,1,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single
152,>= 200 DM,36,existing credits paid back duly till now,radio/television,5848,... <  100 DM,1  <= ... < 4 years,4,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,male,single
153,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),car (used),7758,.. >= 1000 DM,.. >= 7 years,2,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
154,0 <= ... < 200 DM,24,delay in paying off in the past,business,6967,100 <= ... <  500 DM,4  <= ... < 7 years,4,none,4,"car or other, not in attribute 6",36,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
155,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,... <  100 DM,1  <= ... < 4 years,2,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
156,... < 0 DM,9,critical account/  other credits existing (not at this bank),repairs,1288,100 <= ... <  500 DM,.. >= 7 years,3,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no,male,single
157,... < 0 DM,12,all credits at this bank paid back duly,retraining,339,... <  100 DM,.. >= 7 years,4,none,1,"car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1,none,yes,male,married/widowed
158,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... <  500 DM,4  <= ... < 7 years,2,none,3,"car or other, not in attribute 6",38,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
159,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1  <= ... < 4 years,1,none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes,male,single
160,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2872,100 <= ... <  500 DM,.. >= 7 years,3,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
161,no checking account,18,critical account/  other credits existing (not at this bank),car (new),1055,... <  100 DM,... < 1 year,4,none,1,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
162,no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 <= ... < 1000 DM,4  <= ... < 7 years,4,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
163,0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),7308,... <  100 DM,unemployed,2,none,4,unknown / no property,70,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
164,no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,none,yes,male,single
165,no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,500 <= ... < 1000 DM,1  <= ... < 4 years,1,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
166,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,... <  100 DM,unemployed,4,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
167,0 <= ... < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,.. >= 1000 DM,... < 1 year,4,none,1,real estate,20,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
168,no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,... <  100 DM,4  <= ... < 7 years,2,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
169,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),business,1935,... <  100 DM,.. >= 7 years,4,none,4,real estate,31,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated
170,... < 0 DM,15,no credits taken/ all credits paid back duly,car (new),950,... <  100 DM,.. >= 7 years,4,none,3,"car or other, not in attribute 6",33,none,rent,2,skilled employee / official,2,none,yes,male,single
171,no checking account,12,existing credits paid back duly till now,furniture/equipment,763,... <  100 DM,1  <= ... < 4 years,4,none,1,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married
172,0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2064,... <  100 DM,unemployed,3,none,2,building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
173,0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1414,... <  100 DM,1  <= ... < 4 years,4,guarantor,2,real estate,33,none,own,1,skilled employee / official,1,none,no,male,single
